x,y
50.3,-123744
50.4,82741.9
50.5,-14459.6
50.6,-59315
50.7,114757
50.8,-133696
50.9,109569
51,-49679.9
51.1,-26998
51.2,95833.6
51.3,-134446
51.4,129979
51.5,-83376.8
51.6,9237.54
51.7,68753.4
51.8,-125389
51.9,142084
52,-112972
52.1,46949.9
52.2,35031.2
52.3,-106612
52.4,144499
52.5,-136040
52.6,83444.2
52.7,-3236
52.8,-78931.8
52.9,136480
53,-150500
53.1,115960
53.2,-43492.2
53.3,-43870.1
53.4,118014
53.5,-154789
53.6,141871
53.7,-82887
53.8,-3584.99
53.9,89859.8
54,-148008
54.1,158895
54.2,-118472
54.3,39256.4
54.4,53539.4
54.5,-130029
54.6,165274
54.7,-147414
54.8,81647.3
54.9,11263.7
55,-101543
55.1,159943
55.2,-167214
55.3,120447
55.4,-34192.6
55.5,-64060.5
55.6,142643
55.7,-175910
55.8,152606
55.9,-79666.6
56,-19836.3
56.1,113985
56.2,-172253
56.3,175400
56.4,-121821
56.5,28252.1
56.6,75452
56.7,-155838
56.8,186647
56.9,-157384
57,76886.5
57.1,29336.6
57.2,-127182
57.3,184900
57.4,-183393
57.5,122531
57.6,-21387.4
57.7,-87728.6
57.8,169593
57.9,-197433
58,161681
58.1,-73248.5
58.2,-39795.9
58.3,141129
58.4,-197842
58.5,191129
58.6,-122509
58.7,13552.4
58.8,100902
58.9,-183878
59,208210
59.1,-165429
59.2,68694.7
59.3,51242.4
59.4,-155814
59.5,211034
59.6,-198539
59.7,121690
59.8,-4703.36
59.9,-114978
60,198662
60.1,-218916
60.2,168555
60.3,-63167.8
60.4,-63701
60.5,171223
60.6,-224423
60.7,205554
60.8,-120007
60.9,-5201.51
61,129960
61.1,-213907
61.2,229486
61.3,-170989
61.4,56611.8
61.5,77193.1
61.6,-187334
61.7,237953
61.8,-212099
61.9,117392
62,16201.2
62.1,-145846
62.2,229571
62.3,-239851
62.4,172655
62.5,-48972.1
62.6,-91736
62.7,204122
62.8,-251565
62.9,218100
63,-113779
63.1,-28331.8
63.2,162630
63.3,-245606
63.4,249937
63.5,-173479
63.6,40195.8
63.7,107343
63.8,-221556
63.9,265192
64,-223477
64.1,109101
64.2,41626
64.3,-180299
64.4,261960
64.5,-259668
64.6,173385
64.7,-30232.4
64.8,-124023
64.9,239599
65,-278765
65.1,228149
65.2,-103292
65.3,-56112.9
65.4,198837
65.5,-278574
65.6,268963
65.7,-172295
65.8,19033.7
65.9,141779
66,-258210
66.1,292210
66.2,-232034
66.3,96288.8
66.4,71817.6
66.5,-218221
66.6,295386
66.7,-277740
66.8,170134
66.9,-6554.5
67,-160610
67.1,277342
67.2,-305447
67.3,235048
67.4,-88027.4
67.5,-88760.8
67.6,238422
67.7,-312327
67.8,285910
67.9,-166824
68,-7247
68.1,180510
68.2,-296940
68.3,318395
68.4,-237104
68.5,78447.6
68.6,106959
68.7,-259407
68.8,329324
68.9,-293386
69,162290
69.1,22409.1
69.2,-201467
69.3,316947
69.4,-330967
69.5,238117
69.6,-67490.8
69.7,-126422
69.8,281135
69.9,-346298
70,300075
70.1,-156456
70.2,-38965.9
70.3,223461
70.4,-337296
70.5,343071
70.6,-237998
70.7,55101.5
70.8,147157
70.9,-303561
71,363165
71.1,-305885
71.2,149249
71.3,56947.3
71.4,-246470
71.5,357919
71.6,-354613
71.7,236660
71.8,-41227.3
71.9,-169163
72,326631
72.1,-379838
72.2,310718
72.3,-140596
72.4,-76378.3
72.5,270463
72.6,-378738
72.7,365496
72.8,-234016
72.9,25819.1
73,192435
73.1,-350287
73.2,396222
73.3,-314478
73.4,130427
73.5,97278.7
73.6,-295403
73.7,399671
73.8,-375620
73.9,229979
74,-8832.31
74.1,-216961
74.2,374464
74.3,-412222
74.4,317066
74.5,-118676
74.6,-119663
74.7,321246
74.8,-420631
74.9,384879
75,-224463
75.1,-9773.67
75.2,242722
75.3,-399090
75.4,427734
75.5,-318383
75.6,105277
75.7,143540
75.8,-347942
75.9,441525
76,-393170
76.1,217383
76.2,30034.4
76.3,-269693
76.4,424087
76.5,-442654
76.6,318329
76.7,-90168.9
76.8,-168912
76.9,375434
77,-462253
77.1,400382
77.2,-208656
77.3,-51980.5
77.4,297843
77.5,-449370
77.6,456871
77.7,-316806
77.8,73295.7
77.9,195774
78,-403658
78.1,482713
78.2,-406407
78.3,198202
78.4,75636.6
78.5,-327131
78.6,474850
78.7,-470271
78.8,313713
78.9,-54604.1
79,-224116
79.1,432542
79.2,-502796
79.3,411133
79.4,-185944
79.5,-101022
79.6,357513
79.7,-500429
79.8,482740
79.9,-308953
80,34046.2
80.1,253921
80.2,-462008
80.3,522387
80.4,-414447
80.5,171806
80.6,128148
80.7,-388933
80.8,526003
80.9,-494156
81,302429
81.1,-11579.1
81.2,-285162
81.3,491970
81.4,-541368
81.5,416237
81.6,-155717
81.7,-157022
81.8,421330
81.9,-551464
82,504400
82.1,-294046
82.2,-12834.3
82.3,317807
82.4,-522336
82.5,559617
82.6,-416389
82.7,137611
82.8,187642
82.9,-454635
83,576695
83.1,-513346
83.2,283712
83.3,39225.1
83.4,-351816
83.5,553007
83.6,-577007
83.7,414791
83.8,-117426
83.9,-219999
84,488770
84.1,-601578
84.2,520869
84.3,-271336
84.4,-67618
84.5,387138
84.6,-583875
84.7,593408
84.8,-411332
84.9,95104.1
85,254076
85.1,-523652
85.2,625985
85.3,-526843
85.4,256832
85.5,98030.6
85.6,-423718
85.7,614828
85.8,-608687
85.9,405900
86,-70594.5
86.1,-289850
86.2,559186
86.3,-649784
86.4,531139
86.5,-240119
86.6,-130473
86.7,461491
86.8,-645744
86.9,622706
87,-398387
87.1,43851.7
87.2,327288
87.3,-595273
87.4,672841
87.5,-533630
87.6,221117
87.7,164949
87.8,-500381
87.9,676497
88,-635327
88.1,388688
88.2,-14836.8
88.3,-366348
88.4,631804
88.5,-695013
88.6,534188
88.7,-199755
88.8,-201452
88.9,540308
89,-706954
89.1,646410
89.2,-376698
89.3,-16482.1
89.4,406979
89.5,-668662
89.6,716155
89.7,-532687
89.8,175963
89.9,239969
90,-581179
90.1,736976
90.2,-655810
90.3,362318
90.4,50129.2
90.5,-449124
90.6,705724
90.7,-736120
90.8,529000
90.9,-149680
91,-280477
91.1,622895
91.2,-766417
91.3,663385
91.4,-345452
91.5,-86121.3
91.6,492713
91.7,-742858
91.8,754754
91.9,-523003
92,120852
92.1,322945
92.2,-665348
92.3,795126
92.4,-668990
92.5,326010
92.6,124466
92.7,-537668
92.8,779925
92.9,-771903
93,514576
93.1,-89429.5
93.2,-367332
93.3,708420
93.4,-822949
93.5,672482
93.6,-303905
93.7,-165164
93.8,583904
93.9,-816780
94,787408
94.1,-503599
94.2,55371.9
94.3,413587
94.4,-751985
94.5,849723
94.6,-673715
94.7,279057
94.8,208204
94.9,-631322
95,853268
95.1,-801109
95.2,489957
95.3,-18646.6
95.4,-461650
95.5,795909
95.6,-875284
95.7,672548
95.8,-251392
95.9,-253569
96,679816
96.1,-889232
96.2,812847
96.3,-473540
96.4,-20770.8
96.5,511451
96.6,-840049
96.7,899463
96.8,-668840
96.9,220843
97,301228
97.1,-729272
97.2,924505
97.3,-822457
97.4,454242
97.5,62895.7
97.6,-562908
97.7,884254
97.8,-922087
97.9,662452
98,-187352
98.1,-351143
98.2,779562
98.3,-958916
98.4,829779
98.5,-431962
98.6,-107734
98.7,615931
98.8,-928366
98.9,942979
99,-653247
99.1,150865
99.2,403263
99.3,-830552
99.4,992286
99.5,-834648
99.6,406605
99.7,155282
99.8,-670418
99.9,972216
100,-961963
100.1,641095
100.2,-111340
100.3,-457530
100.4,882097
100.5,-1.02443e+06
100.6,836906
100.7,-378084
100.8,-205525
100.9,726257
101,-1.01563e+06
101.1,978856
101.2,-625867
101.3,68742.8
101.4,513871
101.5,-934043
101.6,1.05517e+06
101.7,-836390
101.8,346317
101.9,258439
102,-783326
102.1,1.05843e+06
102.2,-993479
102.3,607440
102.4,-23049.4
102.5,-572204
102.6,986228
102.7,-1.08431e+06
102.8,832944
102.9,-311232
103,-313987
103.1,841491
103.2,-1.10043e+06
103.3,1.00565e+06
103.4,-585696
103.5,-25754.8
103.6,632435
103.7,-1.03848e+06
103.8,1.11165e+06
103.9,-826412
104,272764
104.1,372124
104.2,-900607
104.3,1.14142e+06
104.4,-1.01518e+06
104.5,560525
104.6,77673.7
104.7,-694459
104.8,1.09061e+06
104.9,-1.137e+06
105,816644
105.1,-230857
105.2,-432789
105.3,960522
105.4,-1.18122e+06
105.5,1.0219e+06
105.6,-531821
105.7,-132700
105.8,758159
105.9,-1.14245e+06
106,1.16015e+06
106.1,-803491
106.2,185466
106.3,495913
106.4,-1.02107e+06
106.5,1.21961e+06
106.6,-1.02561e+06
106.7,499489
106.8,190815
106.9,-823405
107,1.19378e+06
107.1,-1.18091e+06
107.2,786813
107.3,-136555
107.4,-561412
107.5,1.08207e+06
107.6,-1.25639e+06
107.7,1.02615e+06
107.8,-463439
107.9,-251988
108,890059
108.1,-1.2444e+06
108.2,1.19906e+06
108.3,-766472
108.4,84099.5
108.5,629191
108.6,-1.14335e+06
108.7,1.29133e+06
108.8,-1.02334e+06
108.9,423591
109,316176
109.1,-957968
109.2,1.2941e+06
109.3,-1.21441e+06
109.4,742337
109.5,-28085.4
109.6,-699143
109.7,1.20471e+06
109.8,-1.32422e+06
109.9,1.017e+06
110,-379876
110.1,-383324
110.2,1.02697e+06
110.3,-1.34267e+06
110.4,1.22675e+06
110.5,-714287
110.6,-31488.9
110.7,771146
110.8,-1.26593e+06
110.9,1.35484e+06
111,-1.00697e+06
111.1,332234
111.2,453364
111.3,-1.09688e+06
111.4,1.38987e+06
111.5,-1.23588e+06
111.6,682205
111.7,94613
111.8,-845068
111.9,1.32682e+06
112,-1.38295e+06
112.1,993072
112.2,-280614
112.3,-526213
112.4,1.16753e+06
112.5,-1.43548e+06
112.6,1.24159e+06
112.7,-645985
112.8,-161264
112.9,920761
113,-1.38715e+06
113.1,1.40835e+06
113.2,-975162
113.3,224980
113.4,601778
113.5,-1.2387e+06
113.6,1.47925e+06
113.7,-1.24369e+06
113.8,605529
113.9,231404
114,-998068
114.1,1.44668e+06
114.2,-1.43079e+06
114.3,953083
114.4,-165305
114.5,-679948
114.6,1.3102e+06
114.7,-1.52095e+06
114.8,1.24197e+06
114.9,-560750
115,-304985
